"New ID","Period of care end","Placement Type","Reason placement ended","Legal Statuses"
21702719,03/31/2014,"Q2","E4","25/10/13-31/03/14 C1"
21792251,10/06/2012,"R2","E8","20/01/11-06/10/12 J1"
21846517,12/09/2013,"H5","E8","19/11/12-09/12/13 V2"
21863309,03/19/2014,"H5","E4","16/01/14-19/03/14 J1"
21926737,06/21/2012,"Q1","E8","22/01/09-27/10/10 C1; 27/10/10-21/06/12 C2"
21930639,10/09/2015,"A6","E11","30/04/14-06/05/14 V2; 06/05/14-23/12/14 C1; 23/12/14-09/10/15 E1"
22162658,02/17/2015,"Q2","E8","21/02/97-06/03/98 C1; 06/03/98-17/02/15 C2"
22202034,01/11/2016,"H5","X1","04/12/15-23/12/15 V2; 23/12/15-11/01/16 V2"
22278232,02/28/2013,"K1","E4","21/02/13-28/02/13 J1"
22340473,02/14/2015,"U6","E44","30/05/14-30/07/14 L1; 30/07/14-30/01/15 C1; 30/01/15-14/02/15 V2"
22483262,03/19/2017,"H5","E8","27/04/11-12/05/11 V2; 12/05/11-06/12/12 C1; 06/12/12-19/03/17 C2"
22576705,12/24/2016,"H5","E8","02/06/15-24/12/16 V2"
22606995,11/11/2015,"H5","E8","06/02/14-11/11/15 V2"
22661966,04/18/2013,"Q1","E43","24/04/12-18/04/13 V2"
22796482,11/28/2016,"A4","E11","03/03/14-19/06/15 C1; 19/06/15-28/11/16 E1"
22877654,09/29/2013,"H5","E5","06/08/12-29/09/13 V2"
22903960,03/03/2017,"U6","E8","03/12/04-21/10/05 V2; 21/10/05-03/11/05 V2; 03/11/05-03/03/17 V2"
22917623,10/15/2013,"P2","E8","15/08/13-15/10/13 V2"
22924378,06/20/2016,"A4","E11","12/03/14-13/03/14 L1; 13/03/14-20/03/14 L2; 20/03/14-22/12/14 C1; 22/12/14-20/06/16 E1"
22939242,10/18/2013,"Q2","E4","11/10/13-12/10/13 L1; 12/10/13-18/10/13 V2"
23009684,12/19/2012,"H5","E8","24/10/08-08/01/09 V2; 08/01/09-19/12/12 V2"
23013364,02/19/2016,"A3","E12","06/10/11-24/08/12 C1; 24/08/12-19/02/16 E1"
23028310,01/20/2015,"U6","E8","14/01/15-20/01/15 V2"
23051478,01/03/2015,"H5","E8","07/06/13-03/01/15 V2"
23228478,06/27/2012,"Q2","E4","25/06/12-27/06/12 L1"
23245683,11/17/2014,"A4","E11","30/09/13-17/11/14 V2"
23341860,04/24/2015,"U3","E44","08/08/14-24/04/15 V2"
23350290,02/25/2015,"U6","E4A","16/01/15-25/02/15 V2"
23596834,05/30/2012,"Q2","E43","12/09/08-06/09/10 C1; 06/09/10-30/05/12 C2"
23693184,10/17/2013,"Q2","E8","11/03/04-05/10/04 V2; 05/10/04-12/10/04 L2; 12/10/04-09/11/04 C1; 09/11/04-12/07/05 C1; 12/07/05-17/10/13 C2"
23729411,05/09/2014,"Q1","E44","14/04/13-15/04/13 L1; 15/04/13-19/04/13 V2; 19/04/13-09/05/14 V2"
23748229,05/16/2013,"K1","E9","05/07/10-16/05/13 V2"
23748229,06/11/2014,"H5","E9","15/05/14-11/06/14 V2"
23857732,05/15/2015,"Q1","E8","02/06/09-15/05/15 V2"
23947511,02/11/2015,"U3","E43","11/08/14-11/02/15 C1"
23999963,09/09/2016,"H5","E8","15/06/15-28/10/15 J1; 28/10/15-09/09/16 V2"
24028992,05/20/2016,"A4","E12","08/07/15-20/08/15 C1; 20/08/15-20/05/16 E1"
24160273,10/02/2013,"A4","E11","05/07/11-17/07/12 C1; 17/07/12-02/10/13 E1"
